,output,output_bit,output_blur,score_bit,score_blur,anomaly
0,0.09457530826330185,0.29112178087234497,0.9970290064811707,0.39309294521808624,1.8049073964357376,1.0
1,0.03250554949045181,0.044828228652477264,0.029045773670077324,0.024645358324050903,0.006919551640748978,0.0
2,0.04074908420443535,0.021741563454270363,0.6268975734710693,0.03801504150032997,1.172296978533268,1.0
3,0.022917836904525757,0.02394205331802368,0.6048310995101929,0.0020484328269958496,1.1638265252113342,1.0
4,0.03606924042105675,0.02710527367889881,0.6247127652168274,0.017927933484315872,1.1772870495915413,0.0
5,0.020909616723656654,0.02066941000521183,0.022981898859143257,0.00048041343688964844,0.004144564270973206,0.0
6,0.15005064010620117,0.10826274752616882,0.15488123893737793,0.0835757851600647,0.009661197662353516,0.0
7,0.08543375134468079,0.06433436274528503,0.08771934360265732,0.042198777198791504,0.004571184515953064,1.0
8,0.3026735484600067,0.3085860013961792,0.03799527511000633,0.01182490587234497,0.5293565467000008,1.0
9,0.03843653202056885,0.027293594554066658,0.023456884548068047,0.02228587493300438,0.029959294945001602,0.0
10,0.022402197122573853,0.035531818866729736,0.2918688654899597,0.026259243488311768,0.5389333367347717,1.0
11,0.06142893806099892,0.05647989362478256,0.02367222309112549,0.009898088872432709,0.07551342993974686,0.0
12,0.023622291162610054,0.023019803687930107,0.023357583209872246,0.0012049749493598938,0.0005294159054756165,0.0
13,0.0238957516849041,0.024536078795790672,0.056583188474178314,0.0012806542217731476,0.06537487357854843,0.0
14,0.020717663690447807,0.02039952203631401,0.022235190495848656,0.0006362833082675934,0.0030350536108016968,0.0
15,0.028247419744729996,0.027961740270256996,0.021949108690023422,0.0005713589489459991,0.012596622109413147,0.0
16,0.022396476939320564,0.03284000605344772,0.08792699873447418,0.020887058228254318,0.13106104359030724,1.0
17,0.03848673403263092,0.08696482330560684,0.03199823945760727,0.09695617854595184,0.012976989150047302,0.0
18,0.023839661851525307,0.04906510189175606,0.023376310244202614,0.0504508800804615,0.0009267032146453857,0.0
19,0.058354683220386505,0.06985392421483994,0.03199869766831398,0.02299848198890686,0.05271197110414505,1.0
20,0.13915276527404785,0.15876680612564087,0.1583823561668396,0.039228081703186035,0.038459181785583496,0.0
21,0.022337647154927254,0.022374369204044342,0.10257669538259506,7.344409823417664e-05,0.16047809645533562,0.0
22,0.2824280261993408,0.8157148361206055,0.381305992603302,1.0665736198425293,0.19775593280792236,1.0
23,0.13719701766967773,0.12917859852313995,0.15649141371250153,0.01603683829307556,0.03858879208564758,0.0
24,0.0274802278727293,0.02388964779675007,0.04526229575276375,0.007181160151958466,0.03556413576006889,0.0
25,0.036349549889564514,0.059304121881723404,0.06520605087280273,0.04590914398431778,0.05771300196647644,0.0
26,0.3315621614456177,0.36475127935409546,0.13625754415988922,0.06637823581695557,0.3906092345714569,0.0
27,0.022481722757220268,0.028694242238998413,0.024947399273514748,0.01242503896355629,0.004931353032588959,0.0
28,0.1417938619852066,0.14007239043712616,0.2953838109970093,0.0034429430961608887,0.30717989802360535,0.0
29,0.10903794318437576,0.3324965536594391,0.10640706866979599,0.44691722095012665,0.005261749029159546,0.0
30,0.05676770955324173,0.049196045845746994,0.05306826904416084,0.015143327414989471,0.007398881018161774,0.0
31,0.053563766181468964,0.038971319794654846,0.09256257861852646,0.029184892773628235,0.07799762487411499,0.0
32,0.05604112520813942,0.06840242445468903,0.05503086373209953,0.024722598493099213,0.002020522952079773,0.0
33,0.5087853670120239,0.5849579572677612,0.07962822169065475,0.1523451805114746,0.8583142906427383,1.0
34,0.09934654086828232,0.1838112324476242,0.1478816717863083,0.16892938315868378,0.09707026183605194,1.0
35,0.08582782000303268,0.13993218541145325,0.0757552832365036,0.10820873081684113,0.020145073533058167,0.0
36,0.6369801163673401,0.6336697936058044,0.23147189617156982,0.006620645523071289,0.8110164403915405,0.0
37,0.02748033031821251,0.04985324293375015,0.047978583723306656,0.04474582523107529,0.04099650681018829,0.0
38,0.0692201629281044,0.39785221219062805,0.030945422127842903,0.6572640985250473,0.076549481600523,0.0
39,0.040916088968515396,0.03956427425146103,0.049429524689912796,0.002703629434108734,0.0170268714427948,0.0
40,0.07278416305780411,0.033136866986751556,0.08495588600635529,0.0792945921421051,0.024343445897102356,0.0
41,0.17710232734680176,0.046415962278842926,0.029356574639678,0.26137273013591766,0.2954915054142475,0.0
42,0.11961514502763748,0.06748420745134354,0.7043280601501465,0.10426187515258789,1.169425830245018,1.0
43,0.024940410628914833,0.025034945458173752,0.028929241001605988,0.00018906965851783752,0.007977660745382309,0.0
44,0.2581839859485626,0.24636603891849518,0.2629295587539673,0.023635894060134888,0.009491145610809326,0.0
45,0.07132359594106674,0.0705605149269104,0.136025533080101,0.001526162028312683,0.12940387427806854,1.0
46,0.0984855368733406,0.0747566670179367,0.10100921243429184,0.0474577397108078,0.005047351121902466,0.0
47,0.029353518038988113,0.023150715976953506,0.03592025488615036,0.012405604124069214,0.013133473694324493,0.0
48,0.029699167236685753,0.05859038233757019,0.022513361647725105,0.057782430201768875,0.014371611177921295,0.0
49,0.9987125396728516,0.9999854564666748,1.0,0.0025458335876464844,0.002574920654296875,1.0
50,0.025773264467716217,0.022824730724096298,0.02736259438097477,0.005897067487239838,0.003178659826517105,0.0
51,0.044051509350538254,0.037851907312870026,0.07069714367389679,0.012399204075336456,0.05329126864671707,0.0
52,0.15520842373371124,0.08509071171283722,0.9367883205413818,0.14023542404174805,1.5631597936153412,0.0
53,0.1296357810497284,0.3485258221626282,0.5317085385322571,0.43778008222579956,0.8041455149650574,1.0
54,0.0554141066968441,0.0926731675863266,0.0787840336561203,0.074518121778965,0.0467398539185524,0.0
55,0.03991664946079254,0.10461343079805374,0.027235230430960655,0.1293935626745224,0.025362838059663773,0.0
56,0.13437627255916595,0.07371824979782104,0.2645544409751892,0.12131604552268982,0.2603563368320465,0.0
57,0.022937074303627014,0.024562053382396698,0.026379840448498726,0.0032499581575393677,0.0068855322897434235,0.0
58,0.04272577539086342,0.03741752356290817,0.02694430761039257,0.010616503655910492,0.031562935560941696,0.0
59,0.07505302131175995,0.0807735025882721,0.18687304854393005,0.011440962553024292,0.2236400544643402,0.0
60,0.03703340142965317,0.09540138393640518,0.057487089186906815,0.11673596501350403,0.040907375514507294,0.0
61,0.023081306368112564,0.3414236009120941,0.022527122870087624,0.6366845890879631,0.001108366996049881,0.0
62,0.10934720933437347,0.05911368131637573,0.263833224773407,0.10046705603599548,0.308972030878067,0.0
63,0.16859351098537445,0.4365689754486084,0.9051733613014221,0.5359509289264679,1.4731597006320953,1.0
64,0.02317504957318306,0.05473236367106438,0.03667975217103958,0.06311462819576263,0.027009405195713043,0.0
65,0.040569718927145004,0.05892224237322807,0.053417276591062546,0.03670504689216614,0.025695115327835083,0.0
66,0.04444537311792374,0.040609780699014664,0.03159855306148529,0.007671184837818146,0.025693640112876892,0.0
