,score,Anomaly
0,0.05089988559484482,1
1,0.007321082055568695,0
2,0.013556018471717834,1
3,0.009545335546135902,1
4,1.5935598649084568,0
5,1.9791050665080547,0
6,1.859952911734581,0
7,0.013109089806675911,1
8,0.33897046744823456,1
9,1.9713443294167519,0
10,0.060193371027708054,1
11,0.5001910552382469,0
12,1.976387806236744,0
13,1.9746130350977182,0
14,1.979414327070117,0
15,1.9705446939915419,0
16,0.058162933215498924,1
17,0.08675614185631275,0
18,0.020398251712322235,0
19,0.16670528799295425,1
20,1.7800399661064148,0
21,1.9771329276263714,0
22,0.3089480549097061,1
23,1.8276625275611877,0
24,1.9753716941922903,0
25,1.930363453924656,0
26,1.3976094126701355,0
27,1.969664754346013,0
28,1.8095659911632538,0
29,1.4625838994979858,0
30,1.943828210234642,0
31,1.956985481083393,0
32,1.9178958386182785,0
33,0.3492261655628681,1
34,0.09184037894010544,1
35,1.7790328115224838,0
36,0.8042236566543579,0
37,1.9429659508168697,0
38,1.3292558789253235,0
39,1.9562363550066948,0
40,1.9642573557794094,0
41,1.9474542923271656,0
42,0.0073584020137786865,1
43,0.020115947350859642,0
44,0.02664843201637268,0
45,1.2163410484790802,1
46,1.9090078920125961,0
47,1.9762352332472801,0
48,1.9313277751207352,0
49,0.6168849468231201,1
50,1.9766149166971445,0
51,1.9583948068320751,0
52,1.8785042092204094,0
53,0.020089268684387207,1
54,0.009564578533172607,0
55,0.08844782039523125,0
56,1.8408978208899498,0
57,1.9745824802666903,0
58,1.9589399360120296,0
59,1.900462619960308,0
60,1.8791926577687263,0
61,1.4447685480117798,0
62,1.9306210353970528,0
63,0.35680146515369415,1
64,1.9365061670541763,0
65,1.9308797866106033,0
66,1.9549111165106297,0
67,1.8583095073699951,0
68,1.842860460281372,0
69,1.7174523174762726,0
70,1.9767208620905876,0
71,0.0379065852612257,1
72,0.2803967632353306,1
73,1.9701857473701239,0
74,0.14066793769598007,1
75,1.558597233146429,0
76,1.9335658475756645,0
77,1.2199614644050598,0
78,1.9775540977716446,0
79,1.962281633168459,0
80,0.27027345076203346,1
81,1.9226722195744514,0
82,1.9533743597567081,0
83,1.9788980670273304,0
84,0.10441052541136742,1
85,0.0027326084673404694,1
86,0.31696615368127823,0
87,0.039904262870550156,1
88,0.4368220381438732,1
89,0.5428301710635424,1
90,1.1596977896988392,1
91,0.5678784586489201,1
92,1.9707671217620373,0
93,1.8659350275993347,0
94,1.918529912829399,0
95,1.970594361424446,0
96,0.9755327068269253,1
97,0.04279793053865433,1
98,1.4831729494035244,0
99,1.9710981845855713,0
100,0.0907452404499054,1
101,0.009828049689531326,0
102,0.0447634756565094,1
103,0.010808907449245453,1
104,0.0030962973833084106,0
105,0.12928076460957527,1
106,0.005179202184081078,0
107,0.18360831961035728,1
108,1.9625024273991585,0
109,0.16093424521386623,1
110,1.9794166758656502,0
111,1.9426102079451084,0
112,1.9761823024600744,0
113,0.6025804281234741,1
114,1.888576790690422,0
